Seed Variety,Average Price per Kilo (PHP),Grain Length (mm),Grain Shape,Amylose content (percent),Gelatinization temperature (C),Crude protein,Instron cooked rice hardness,Raw Aroma,Raw Color,Raw Gloss,Raw Translucency,Raw Hardness,Cooked Aroma (freshly cooked),Cooked Aroma (staled),Cooked Color,Cooked Gloss,Cooked Cohesiveness,Cooked Tenderness,Cooked Smoothness,Cooked Taste,Average yield (t/ha),Maximum yield (t/ha),Maturity (days),Height (cm),Milling Recovery (percent),Reaction to Blast,Reaction to Bacterial Leaf Blight (BLB),Reaction to Tungro,Reaction to Brown Planthopper (BPH),Reaction to Green Leafhopper (GLH),Reaction to Stem Borer
PSB Rc26H (MAGAT),503.76,6.8,Slender,21.6,72.2,8.5,2.11,Slightly Aromatic,White,Dull,Translucent,Slightly Hard,Bland,,White,Slightly Glossy,Slightly Cohesive,Tender,Slightly Smooth,Slightly Tasty,6.5,8.9,122,111,69.6,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible,Susceptible
PSB Rc76H (PANAY),528.72,7.4,Slender,22.5,70.5,8.5,2.04,Slightly Aromatic,White,Slightly Glossy,Slightly Chalky,Hard,Bland,,White,Slightly Glossy,Cohesive,Slightly Tender,Smooth,Bland,6.4,10.1,112,106,67.2,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Susceptible
PSB Rc72H (MESTIZO 1),487.22,6.9,Slender,21.5,69,6.7,1.86,,White,Dull,Chalky,Hard,Bland,,White,Glossy,Separated,Tender,Smooth,Bland,5.4,9.9,123,110,68.5,Intermediate,Intermediate,Susceptible,Intermediate,Intermediate,Susceptible
NSIC RC 114H (MESTISO 2),451.96,7,Slender,19.5,68.9,7.7,1.57,,White,Slightly Glossy,Translucent,Slightly Hard,Pleasant,,White,Glossy,Separated,Slightly Tender,Slightly Smooth,Slightly Tasty,6.9,11.1,114,106,68.7,Resistant,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible
NSIC RC 116H (MESTISO 3),511.32,6.6,Slender,22.6,69.5,6.6,2.62,,White,Glossy,Translucent,Slightly Hard,Bland,,White,Slightly Glossy,Cohesive,Tender,Slightly Smooth,Bland,7.5,10.6,105,104,70.3,Intermediate,Resistant,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 124H (MESTISO 4),516.08,6.6,Slender,19.5,71.3,7.9,2.56,,White,Slightly Glossy,Translucent,Hard,Pleasant,,White,Slightly Glossy,Separated,Slightly Tender,Smooth,Slightly Tasty,7.3,10.9,117,105,64,Susceptible,Intermediate,Susceptible,Susceptible,Resistant,Intermediate
NSIC RC 126H (MESTISO 5),496.13,6.5,Slender,20.1,72.3,7.6,2.8,,White,Glossy,Translucent,Hard,Bland,Slightly Off-odor,White,Slightly Glossy,Separated,Tender,Smooth,Tasty,7.4,11.1,106,110,66.8,Intermediate,Susceptible,Intermediate,Susceptible,Intermediate,Susceptible
NSIC RC 132H (MESTISO 6),517.1,7.3,Intermediate,22.9,72,8.7,2.8,,White,Dull,Slightly Chalky,Hard,Pleasant,,Creamy White,Slightly Glossy,Cohesive,Slightly Tender,Slightly Smooth,Bland,6.2,8.3,117,98,68.9,Intermediate,Resistant,Intermediate,Susceptible,Intermediate,Intermediate
NSIC RC 136H (MESTISO 7),489.38,7,Intermediate,22.2,69.7,7.4,2.22,,White,Slightly Glossy,Translucent,Slightly Hard,Pleasant,,White,Slightly Glossy,Cohesive,Tender,Slightly Smooth,Slightly Tasty,6.3,8.5,116,109,69.5,Intermediate,Susceptible,Intermediate,Susceptible,Resistant,Intermediate
NSIC RC 162H (Mestiso 8),492.27,7.1,Slender,23.5,73.7,6.8,2.5,,White,Dull,Translucent,Hard,Pleasant,,White,Slightly Glossy,Cohesive,Tender,Smooth,Tasty,6.1,9.2,114,99,65.4,Susceptible,Resistant,Intermediate,Susceptible,Intermediate,Susceptible
NSIC RC 164H (Mestiso 9),482.75,6.4,Intermediate,22.3,72.4,6.9,2.73,,White,Glossy,Translucent,Slightly Hard,Bland,,Creamy White,Slightly Glossy,Cohesive,Slightly Tender,Slightly Smooth,Tasty,6.5,10.1,122,104,70.7,Susceptible,Intermediate,Intermediate,Susceptible,Resistant,Susceptible
