Seed Variety,Average Price per Kilo (PHP),Grain Length (mm),Grain Shape,Amylose content (percent),Gelatinization temperature (C),Crude protein,Instron cooked rice hardness,Raw Aroma,Raw Color,Raw Gloss,Raw Translucency,Raw Hardness,Cooked Aroma (freshly cooked),Cooked Aroma (staled),Cooked Color,Cooked Gloss,Cooked Cohesiveness,Cooked Tenderness,Cooked Smoothness,Cooked Taste,Average yield (t/ha),Maximum yield (t/ha),Maturity (days),Height (cm),Milling Recovery (percent),Reaction to Blast,Reaction to Bacterial Leaf Blight (BLB),Reaction to Tungro,Reaction to Brown Planthopper (BPH),Reaction to Green Leafhopper (GLH),Reaction to Stem Borer
PSB Rc2 (NAHALIN),48.75,6.9,Slender,17.7,73.8,7.9,2.86,,White,Glossy,Translucent,Hard,Bland,Slightly Off-odor,Creamy White,Glossy,Cohesive,Tender,Smooth,Slightly Tasty,5.5,8.7,110,96,69.8,Intermediate,Intermediate,Intermediate,Susceptible,Resistant,Susceptible
PSB Rc4 (MOLAWIN),54.51,7,Slender,19.7,73.4,7.8,1.98,,White,Glossy,Translucent,Slightly Hard,Bland,,White,Slightly Glossy,Separated,Tender,Slightly Smooth,Bland,6.1,10.5,116,109,64.3,Resistant,Susceptible,Susceptible,Intermediate,Intermediate,Susceptible
PSB Rc6 (CARRANGLAN),52.32,6.3,Medium,23.9,70,6.5,2.25,,White,Glossy,Translucent,Slightly Hard,Pleasant,Slightly Off-odor,White,Slightly Glossy,Separated,Tender,Slightly Smooth,Slightly Tasty,4.9,7.9,118,99,66.6,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Intermediate
PSB Rc8 (TALAVERA),50.99,6.5,Slender,24.4,70.1,7.8,2.72,Slightly Aromatic,White,Glossy,Slightly Chalky,Hard,Bland,,White,Glossy,Slightly Cohesive,Tender,Smooth,Tasty,5.1,8.4,111,95,68.2,Intermediate,Resistant,Susceptible,Susceptible,Intermediate,Susceptible
PSB Rc10 (PAGSANJAN),46.56,7.1,Intermediate,24.6,73.8,7.7,2.6,,White,Slightly Glossy,Chalky,Slightly Hard,Bland,,White,Slightly Glossy,Slightly Cohesive,Tender,Slightly Smooth,Tasty,4.9,7,115,105,69.8,Susceptible,Susceptible,Susceptible,Susceptible,Intermediate,Susceptible
PSB Rc18 (ALA),46.56,7.3,Intermediate,22.9,72,7.9,1.94,,White,Slightly Glossy,Translucent,Slightly Hard,Bland,,Creamy White,Slightly Glossy,Cohesive,Tender,Smooth,Bland,4.8,8,120,112,64.1,Susceptible,Intermediate,Susceptible,Susceptible,Resistant,Susceptible
PSB Rc20 (CHICO),45.58,6.7,Slender,24.8,69.7,7.2,2.51,,White,Dull,Slightly Chalky,Hard,Pleasant,,Creamy White,Dull,Slightly Cohesive,Tender,Slightly Smooth,Bland,4.1,8.1,106,106,67.6,Susceptible,Intermediate,Susceptible,Susceptible,Resistant,Intermediate
PSB Rc22 (LILIW),53.66,7.4,Slender,20.5,68.1,9.6,2.81,,White,Glossy,Slightly Chalky,Slightly Hard,Pleasant,,White,Glossy,Slightly Cohesive,Slightly Tender,Smooth,Slightly Tasty,5.7,9.7,123,109,68,Resistant,Susceptible,Intermediate,Susceptible,Resistant,Susceptible
PSB Rc28 (AGNO),51.01,7.2,Intermediate,18.4,70.3,6,1.5,Aromatic,White,Dull,Translucent,Hard,Bland,,Creamy White,Glossy,Slightly Cohesive,Tender,Smooth,Bland,5,8.1,110,101,69.8,Intermediate,Resistant,Intermediate,Susceptible,Intermediate,Susceptible
PSB Rc30 (AGUS),52.08,6.5,Slender,18.6,70.8,6.4,2.45,,White,Glossy,Slightly Chalky,Hard,Bland,,White,Dull,Cohesive,Tender,Smooth,Bland,4.3,8,108,99,68.4,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate
